type;position;n;time;comps
coefficient;nowhere;42000;0.052090;1.953366
coefficient;random;42000;0.059903;1.849187
normal;beginning;43000;1.140000;28.760000
normal;middle;43000;0.940000;28.520000
normal;end;43000;0.980000;28.040000
normal;nowhere;43000;0.840000;30.000000
normal;random;43000;0.980000;27.320000
coefficient;beginning;43000;0.074064;1.868497
coefficient;middle;43000;0.061070;1.852905
coefficient;end;43000;0.063669;1.821720
coefficient;nowhere;43000;0.054574;1.949058
coefficient;random;43000;0.063669;1.774942
normal;beginning;44000;1.440000;27.320000
normal;middle;44000;1.460000;28.280000
normal;end;44000;1.540000;28.600000
normal;nowhere;44000;1.200000;30.000000
normal;random;44000;1.720000;26.800000
coefficient;beginning;44000;0.093354;1.771126
coefficient;middle;44000;0.094650;1.833362
coefficient;end;44000;0.099837;1.854107
coefficient;nowhere;44000;0.077795;1.944867
coefficient;random;44000;0.111506;1.737415
normal;beginning;45000;1.960000;28.280000
normal;middle;45000;2.160000;28.040000
normal;end;45000;2.040000;28.640000
normal;nowhere;45000;1.420000;30.000000
normal;random;45000;2.220000;28.240000
coefficient;beginning;45000;0.126798;1.829516
coefficient;middle;45000;0.139737;1.813990
coefficient;end;45000;0.131974;1.852806
coefficient;nowhere;45000;0.091864;1.940788
coefficient;random;45000;0.143618;1.826929
normal;beginning;46000;1.380000;28.560000
normal;middle;46000;1.280000;28.520000
normal;end;46000;1.760000;27.640000
normal;nowhere;46000;1.200000;30.000000
normal;random;46000;1.460000;27.600000
coefficient;beginning;46000;0.089093;1.843848
coefficient;middle;46000;0.082637;1.841266
coefficient;end;46000;0.113626;1.784452
coefficient;nowhere;46000;0.077473;1.936815
coefficient;random;46000;0.094258;1.781870
normal;beginning;47000;1.440000;28.360000
normal;middle;47000;1.400000;28.640000
normal;end;47000;1.140000;28.640000
normal;nowhere;47000;1.220000;30.000000
normal;random;47000;1.400000;28.160000
coefficient;beginning;47000;0.092781;1.827276
coefficient;middle;47000;0.090204;1.845316
coefficient;end;47000;0.073452;1.845316
coefficient;nowhere;47000;0.078606;1.932943
coefficient;random;47000;0.090204;1.814389
normal;beginning;48000;1.200000;27.680000
normal;middle;48000;1.340000;28.240000
normal;end;48000;1.400000;28.400000
normal;nowhere;48000;1.200000;30.000000
normal;random;48000;1.480000;28.440000
coefficient;beginning;48000;0.077167;1.779979
coefficient;middle;48000;0.086169;1.815990
coefficient;end;48000;0.090028;1.826279
coefficient;nowhere;48000;0.077167;1.929168
coefficient;random;48000;0.095172;1.828851
normal;beginning;49000;1.280000;28.280000
normal;middle;49000;1.400000;28.600000
normal;end;49000;1.260000;27.840000
normal;nowhere;49000;1.100000;30.000000
normal;random;49000;1.380000;28.320000
coefficient;beginning;49000;0.082154;1.815090
coefficient;middle;49000;0.089856;1.835629
coefficient;end;49000;0.080870;1.786850
coefficient;nowhere;49000;0.070601;1.925485
coefficient;random;49000;0.088572;1.817657
normal;beginning;50000;1.400000;28.800000
normal;middle;50000;1.460000;28.400000
normal;end;50000;1.340000;29.600000
normal;nowhere;50000;1.260000;30.000000
normal;random;50000;1.540000;28.680000
coefficient;beginning;50000;0.089688;1.845014
coefficient;middle;50000;0.093532;1.819388
coefficient;end;50000;0.085844;1.896264
coefficient;nowhere;50000;0.080719;1.921889
coefficient;random;50000;0.098657;1.837326
normal;beginning;51000;1.700000;28.680000
normal;middle;51000;1.480000;28.440000
normal;end;51000;1.340000;27.760000
normal;nowhere;51000;1.200000;30.000000
normal;random;51000;1.560000;28.160000
coefficient;beginning;51000;0.108708;1.833970
coefficient;middle;51000;0.094640;1.818623
coefficient;end;51000;0.085688;1.775139
coefficient;nowhere;51000;0.076735;1.918378
coefficient;random;51000;0.099756;1.800718
normal;beginning;52000;1.580000;28.920000
normal;middle;52000;1.300000;28.920000
normal;end;52000;1.380000;28.280000
normal;nowhere;52000;1.200000;30.000000
normal;random;52000;1.360000;28.960000
coefficient;beginning;52000;0.100854;1.846010
coefficient;middle;52000;0.082981;1.846010
coefficient;end;52000;0.088088;1.805157
coefficient;nowhere;52000;0.076598;1.914948
coefficient;random;52000;0.086811;1.848563
normal;beginning;53000;1.300000;28.480000
normal;middle;53000;1.200000;29.200000
normal;end;53000;1.920000;27.720000
normal;nowhere;53000;1.060000;30.000000
normal;random;53000;1.380000;28.160000
coefficient;beginning;53000;0.082836;1.814740
coefficient;middle;53000;0.076464;1.860619
coefficient;end;53000;0.122342;1.766313
