type;n;avg_comparisons;avg_swaps;
quick;1720;20767.720000;11741.160000;
insertion;1720;738405.520000;736686.520000;
hybrid;1720;21211.800000;11289.200000;
quick;1730;20763.560000;12010.060000;
insertion;1730;750342.760000;748613.760000;
hybrid;1730;21202.700000;11552.040000;
quick;1740;21214.280000;12017.920000;
insertion;1740;759092.800000;757353.800000;
hybrid;1740;21651.340000;11544.160000;
quick;1750;21010.300000;11950.880000;
insertion;1750;768741.940000;766992.940000;
hybrid;1750;21456.420000;11479.360000;
quick;1760;21264.860000;11679.960000;
insertion;1760;775223.460000;773464.460000;
hybrid;1760;21710.080000;11205.900000;
quick;1770;21295.720000;12065.960000;
insertion;1770;779888.480000;778119.480000;
hybrid;1770;21738.240000;11592.120000;
quick;1780;21486.420000;12209.720000;
insertion;1780;791816.240000;790037.240000;
hybrid;1780;21942.040000;11752.500000;
quick;1790;22156.340000;12372.220000;
insertion;1790;804141.980000;802352.980000;
hybrid;1790;22597.720000;11883.820000;
quick;1800;21634.760000;12210.480000;
insertion;1800;812162.160000;810363.160000;
hybrid;1800;22079.380000;11717.180000;
quick;1810;21671.340000;12232.400000;
insertion;1810;819505.040000;817696.040000;
hybrid;1810;22137.400000;11763.540000;
quick;1820;22155.880000;12325.580000;
insertion;1820;827877.780000;826058.780000;
hybrid;1820;22612.060000;11824.620000;
quick;1830;22363.480000;12573.100000;
insertion;1830;840415.000000;838586.000000;
hybrid;1830;22835.440000;12094.180000;
quick;1840;22575.460000;12751.660000;
insertion;1840;845118.000000;843279.000000;
hybrid;1840;23048.520000;12264.140000;
quick;1850;22486.340000;12575.300000;
insertion;1850;857863.020000;856014.020000;
hybrid;1850;22957.300000;12087.040000;
quick;1860;22770.680000;12739.740000;
insertion;1860;866782.120000;864923.120000;
hybrid;1860;23250.680000;12244.740000;
quick;1870;23044.900000;12933.600000;
insertion;1870;874910.220000;873041.220000;
hybrid;1870;23515.560000;12436.120000;
quick;1880;23211.460000;13173.160000;
insertion;1880;882427.540000;880548.540000;
hybrid;1880;23705.780000;12703.760000;
quick;1890;23059.480000;13041.900000;
insertion;1890;893676.780000;891787.780000;
hybrid;1890;23535.680000;12525.420000;
quick;1900;23409.300000;13298.680000;
insertion;1900;906155.660000;904256.660000;
hybrid;1900;23899.280000;12805.040000;
quick;1910;23477.680000;13203.880000;
insertion;1910;915429.540000;913520.540000;
hybrid;1910;23976.000000;12715.840000;
quick;1920;23461.760000;13041.780000;
insertion;1920;925860.280000;923941.280000;
hybrid;1920;23946.840000;12527.160000;
quick;1930;23784.800000;13131.420000;
insertion;1930;933346.760000;931417.760000;
hybrid;1930;24293.760000;12646.360000;
quick;1940;23663.120000;13277.020000;
insertion;1940;941364.980000;939425.980000;
hybrid;1940;24156.560000;12759.640000;
quick;1950;24226.120000;13403.360000;
insertion;1950;950985.180000;949036.180000;
hybrid;1950;24724.720000;12883.680000;
quick;1960;24322.080000;13864.120000;
insertion;1960;961894.660000;959935.660000;
hybrid;1960;24828.240000;13356.900000;
quick;1970;24604.160000;13850.060000;
insertion;1970;975530.320000;973561.320000;
hybrid;1970;25101.060000;13320.980000;
quick;1980;24279.880000;13851.560000;
insertion;1980;982618.480000;980639.480000;
hybrid;1980;24784.680000;13339.800000;
quick;1990;24506.560000;13674.360000;
insertion;1990;991809.940000;989820.940000;
hybrid;1990;25008.300000;13138.900000;
quick;2000;24941.880000;14100.920000;
insertion;2000;1003038.180000;1001039.180000;
hybrid;2000;25442.600000;13561.420000;
