type;position;n;time;comps
coefficient;middle;53000;0.067543;1.840228
coefficient;end;53000;0.067543;1.822387
coefficient;nowhere;53000;0.063720;1.911595
coefficient;random;53000;0.075189;1.794350
normal;beginning;54000;0.980000;28.520000
normal;middle;54000;0.920000;28.800000
normal;end;54000;0.920000;28.480000
normal;nowhere;54000;0.940000;30.000000
normal;random;54000;1.100000;28.760000
coefficient;beginning;54000;0.062338;1.814172
coefficient;middle;54000;0.058522;1.831983
coefficient;end;54000;0.058522;1.811627
coefficient;nowhere;54000;0.059794;1.908315
coefficient;random;54000;0.069972;1.829438
normal;beginning;55000;0.980000;28.520000
normal;middle;55000;0.900000;28.680000
normal;end;55000;0.920000;28.440000
normal;nowhere;55000;0.820000;30.000000
normal;random;55000;1.040000;28.600000
coefficient;beginning;55000;0.062234;1.811122
coefficient;middle;55000;0.057153;1.821283
coefficient;end;55000;0.058423;1.806042
coefficient;nowhere;55000;0.052073;1.905107
coefficient;random;55000;0.066044;1.816202
normal;beginning;56000;0.980000;29.160000
normal;middle;56000;0.920000;28.920000
normal;end;56000;0.920000;29.040000
normal;nowhere;56000;0.900000;30.000000
normal;random;56000;1.080000;28.680000
coefficient;beginning;56000;0.062131;1.848713
coefficient;middle;56000;0.058327;1.833497
coefficient;end;56000;0.058327;1.841105
coefficient;nowhere;56000;0.057059;1.901968
coefficient;random;56000;0.068471;1.818281
normal;beginning;57000;1.020000;28.080000
normal;middle;57000;1.000000;28.520000
normal;end;57000;0.980000;28.560000
normal;nowhere;57000;0.900000;30.000000
normal;random;57000;1.020000;28.880000
coefficient;beginning;57000;0.064562;1.777364
coefficient;middle;57000;0.063296;1.805215
coefficient;end;57000;0.062031;1.807747
coefficient;nowhere;57000;0.056967;1.898894
coefficient;random;57000;0.064562;1.828001
normal;beginning;58000;1.080000;28.320000
normal;middle;58000;1.080000;29.120000
normal;end;58000;1.040000;28.560000
normal;nowhere;58000;0.960000;30.000000
normal;random;58000;1.060000;29.160000
coefficient;beginning;58000;0.068252;1.789713
coefficient;middle;58000;0.068252;1.840270
coefficient;end;58000;0.065724;1.804880
coefficient;nowhere;58000;0.060668;1.895883
coefficient;random;58000;0.066988;1.842798
normal;beginning;59000;1.420000;29.240000
normal;middle;59000;1.140000;28.680000
normal;end;59000;1.140000;28.360000
normal;nowhere;59000;1.040000;30.000000
normal;random;59000;1.220000;28.840000
coefficient;beginning;59000;0.089599;1.844978
coefficient;middle;59000;0.071931;1.809643
coefficient;end;59000;0.071931;1.789452
coefficient;nowhere;59000;0.065622;1.892932
coefficient;random;59000;0.076979;1.819739
normal;beginning;60000;1.260000;29.600000
normal;middle;60000;1.080000;28.240000
normal;end;60000;1.220000;28.920000
normal;nowhere;60000;0.980000;30.000000
normal;random;60000;1.240000;28.760000
coefficient;beginning;60000;0.079382;1.864840
coefficient;middle;60000;0.068041;1.779158
coefficient;end;60000;0.076862;1.821999
coefficient;nowhere;60000;0.061741;1.890041
coefficient;random;60000;0.078122;1.811919
normal;beginning;61000;1.060000;28.280000
normal;middle;61000;1.160000;28.840000
normal;end;61000;0.940000;28.600000
normal;nowhere;61000;1.180000;30.000000
normal;random;61000;1.060000;28.240000
