type;n;comps;swaps
select;25600;243449.08;118403.9
randomSelect;25600;74837.5;36309.86
select;25700;245915.72;118752.38
randomSelect;25700;71623.2;34956.46
select;25800;245000.34;119564.66
randomSelect;25800;77719.58;39927.48
select;25900;246478.08;119538.9
randomSelect;25900;84355.86;44897.64
select;26000;246857.1;120389.4
randomSelect;26000;78104.04;38010.24
select;26100;246893.36;120783.08
randomSelect;26100;82523.3;43664.2
select;26200;246928.82;120786.74
randomSelect;26200;78942.06;39884.46
select;26300;249050.78;121873.58
randomSelect;26300;80195.08;39559.48
select;26400;249015.5;121663.3
randomSelect;26400;78837.7;38701.06
select;26500;249314.46;122552.24
randomSelect;26500;74119.48;39104.66
select;26600;254050.2;123221.02
randomSelect;26600;83485.1;40040.44
select;26700;253727.66;123376.88
randomSelect;26700;77165.7;41343.84
select;26800;251967.1;123614.86
randomSelect;26800;81368.66;38977.92
select;26900;254975.32;124317.3
randomSelect;26900;79073.54;39651.78
select;27000;255747.74;124924.24
randomSelect;27000;81472.5;40903.74
select;27100;259917.38;125309.4
randomSelect;27100;77443.42;39070.12
select;27200;258287.3;125683.22
randomSelect;27200;80005.36;39823.2
select;27300;262273.0;126757.24
randomSelect;27300;86971.28;38697.36
select;27400;259704.28;127246.38
randomSelect;27400;78617.02;40088.98
select;27500;263330.36;127289.94
randomSelect;27500;78272.32;39693.0
select;27600;261578.2;127613.8
randomSelect;27600;85925.5;43794.98
select;27700;263203.62;128388.54
randomSelect;27700;76182.28;39215.92
select;27800;261093.14;128048.9
randomSelect;27800;82380.22;40977.92
select;27900;263532.74;128174.5
randomSelect;27900;76950.54;38411.66
select;28000;264973.08;129111.26
randomSelect;28000;80557.28;40535.48
select;28100;267448.44;130231.34
randomSelect;28100;87612.76;43697.88
select;28200;264391.9;130217.2
randomSelect;28200;85325.74;43075.08
select;28300;270388.54;131451.24
randomSelect;28300;86725.48;44176.68
select;28400;269974.56;131769.54
randomSelect;28400;82210.34;38383.24
select;28500;269486.48;131524.76
randomSelect;28500;82353.94;42099.08
select;28600;271810.78;132685.46
randomSelect;28600;90113.74;43344.88
select;28700;270683.66;132944.54
randomSelect;28700;85851.66;44297.62
select;28800;272651.08;133322.24
randomSelect;28800;83559.94;40997.22
select;28900;273710.88;134399.66
randomSelect;28900;90381.72;43581.26
select;29000;274250.62;134332.8
randomSelect;29000;85073.92;40878.22
select;29100;277629.62;134509.64
randomSelect;29100;94997.58;47460.66
select;29200;274243.96;134978.94
randomSelect;29200;90713.08;42875.6
select;29300;278588.06;135948.16
randomSelect;29300;80231.76;40171.22
select;29400;278422.26;136266.36
randomSelect;29400;86377.92;41985.9
select;29500;280004.28;136789.42
randomSelect;29500;83511.7;37882.88
select;29600;279506.7;137055.18
randomSelect;29600;83555.78;39143.86
select;29700;280654.16;137543.46
randomSelect;29700;87763.42;46734.4
select;29800;281111.56;137623.74
randomSelect;29800;91565.42;46818.2
select;29900;287098.76;138613.54
randomSelect;29900;89518.02;44167.54
select;30000;283263.64;138976.68
randomSelect;30000;88118.84;45963.54
select;30100;283896.74;139310.78
randomSelect;30100;92684.58;47310.6
select;30200;287571.82;140114.28
randomSelect;30200;90510.1;44889.54
select;30300;289114.42;140584.5
randomSelect;30300;83948.44;40839.58
select;30400;288407.9;140992.52
randomSelect;30400;93764.0;47671.56
select;30500;287887.58;141192.76
randomSelect;30500;89587.56;49205.4
select;30600;287775.08;140688.38
randomSelect;30600;89927.02;42226.14
select;30700;287583.92;141772.52
randomSelect;30700;91747.84;47924.82
select;30800;294418.8;143294.62
randomSelect;30800;93142.28;45243.94
select;30900;295144.04;143499.7
randomSelect;30900;97723.16;48535.54
select;31000;294553.62;144140.62
randomSelect;31000;90558.5;47265.44
select;31100;296131.66;144320.14
randomSelect;31100;95051.38;49330.1
select;31200;296954.94;145216.68
randomSelect;31200;95684.7;48133.76
select;31300;298250.48;145489.78
randomSelect;31300;93979.48;47146.44
select;31400;298853.38;145964.36
randomSelect;31400;96750.26;51005.72
select;31500;300994.84;146682.28
randomSelect;31500;96901.52;45514.16
select;31600;298448.48;146151.96
randomSelect;31600;93111.24;48486.78
select;31700;304594.74;148153.12
randomSelect;31700;90333.92;47989.78
select;31800;302415.2;147395.5
randomSelect;31800;98027.38;46692.92
select;31900;304494.52;148010.7
randomSelect;31900;99621.82;48468.08
select;32000;303483.28;148256.72
randomSelect;32000;99717.36;49756.0
select;32100;302699.92;147981.06
randomSelect;32100;92553.9;44599.98
select;32200;302852.14;148174.6
randomSelect;32200;103853.7;53961.46
select;32300;309384.52;149706.64
randomSelect;32300;90889.9;43507.82
select;32400;309317.34;151440.02
randomSelect;32400;108071.02;57529.06
select;32500;309263.06;150179.26
randomSelect;32500;89091.6;47663.56
select;32600;310222.72;151956.78
randomSelect;32600;95947.64;49508.12
select;32700;311448.18;151516.94
randomSelect;32700;91453.84;43743.4
select;32800;314019.88;152678.48
randomSelect;32800;97887.28;44484.28
select;32900;314246.36;152549.42
randomSelect;32900;99817.98;50528.02
select;33000;315011.26;153869.6
randomSelect;33000;105618.06;52377.68
select;33100;319000.52;153593.94
randomSelect;33100;103707.04;52446.52
select;33200;313027.86;153651.34
randomSelect;33200;96883.38;44311.96
select;33300;315913.72;154433.96
randomSelect;33300;111075.4;55828.38
select;33400;318264.84;154989.08
randomSelect;33400;103193.56;48868.8
select;33500;322015.78;155076.5
randomSelect;33500;101675.42;53078.88
select;33600;319789.06;155572.68
randomSelect;33600;93839.8;51189.68
select;33700;319708.24;156380.94
randomSelect;33700;102262.18;48969.8
select;33800;320667.72;156917.32
randomSelect;33800;101067.28;48862.86
select;33900;321522.32;156784.3
randomSelect;33900;95288.88;51391.96
select;34000;323127.2;158037.12
randomSelect;34000;102659.16;49492.88
select;34100;323265.02;158627.14
randomSelect;34100;108699.78;52594.96
select;34200;324433.38;158225.48
randomSelect;34200;97428.38;48647.0
select;34300;330495.28;158807.26
randomSelect;34300;107635.98;54813.38
select;34400;326347.36;160041.32
randomSelect;34400;106011.42;54856.82
select;34500;328651.62;160656.92
randomSelect;34500;100812.7;53008.2
select;34600;332385.18;160384.92
randomSelect;34600;97269.64;47580.28
select;34700;326791.74;160767.7
randomSelect;34700;102651.06;52314.84
select;34800;329855.38;161443.84
randomSelect;34800;104179.38;52351.4
select;34900;333667.88;162915.82
randomSelect;34900;105991.12;51984.04
select;35000;333451.56;162709.58
randomSelect;35000;103184.54;55024.84
select;35100;333961.34;162582.18
randomSelect;35100;109324.04;58739.62
select;35200;337354.88;163243.52
randomSelect;35200;103170.58;53813.1
select;35300;333236.86;163458.52
