type;n;comps;swaps;time
select5;5200;48198.94;23404.34;0.17040227770805358
select7;5200;48098.16;25321.54;0.15988206148147582
select9;5200;50947.22;28970.66;0.1587004381418228
select3;5300;54860.54;25303.54;0.20549625933170318
select5;5300;49830.54;24072.06;0.1743502813577652
select7;5300;49004.98;26318.16;0.16496422052383422
select9;5300;51288.72;29222.48;0.16114987552165985
select3;5400;55782.22;25554.0;0.2080839204788208
select5;5400;49412.94;24265.42;0.17531627893447876
select7;5400;49998.8;26508.0;0.16690756022930145
select9;5400;52598.34;30302.44;0.1640082997083664
select3;5500;56266.7;25968.36;0.21131495594978333
select5;5500;50399.88;24818.1;0.1795406609773636
select7;5500;50859.86;27128.98;0.171074737906456
select9;5500;53337.46;30623.26;0.16733579874038695
select3;5600;57796.78;26520.42;0.21537216186523436
select5;5600;51552.04;25289.36;0.18300953805446624
select7;5600;52024.0;27711.92;0.1745251226425171
select9;5600;54854.98;31203.88;0.17055245935916902
select3;5700;58355.08;26994.76;0.21917229771614075
select5;5700;52843.98;25689.16;0.1853683602809906
select7;5700;53171.88;28243.92;0.1769464010000229
select9;5700;55803.0;31992.06;0.17417278051376342
select3;5800;60000.74;27645.46;0.22297513902187346
select5;5800;53073.4;26233.58;0.1886123812198639
select7;5800;53875.54;28525.32;0.17876458048820495
select9;5800;56703.36;32388.68;0.17604920148849487
select3;5900;61190.72;28039.32;0.22690821945667267
select5;5900;54890.7;26737.86;0.19234584152698517
select7;5900;54510.02;29021.78;0.18195846378803254
select9;5900;57761.34;33086.84;0.179274001121521
select3;6000;61786.7;28380.72;0.22891803979873657
select5;6000;56014.28;27053.76;0.19619848132133483
select7;6000;56230.52;29629.72;0.18593863785266876
select9;6000;59195.86;33722.3;0.18269539952278138
select3;6100;62974.94;29141.78;0.24520957946777344
select5;6100;55950.44;27516.92;0.19977644264698027
select7;6100;56778.12;30180.42;0.18922387897968293
select9;6100;59837.92;34210.94;0.18522804141044616
select3;6200;64424.6;29645.34;0.23913843989372252
select5;6200;57392.22;28068.38;0.20239436209201814
select7;6200;57640.12;30719.48;0.1914329397678375
select9;6200;60672.66;34658.32;0.18787824213504792
select3;6300;65798.54;30179.6;0.2431373405456543
select5;6300;58613.02;28675.9;0.20652876138687135
select7;6300;58892.0;31168.42;0.1938593202829361
select9;6300;61781.58;35289.04;0.1909271603822708
select3;6400;67134.66;30742.3;0.24820235788822173
select5;6400;58930.32;29015.78;0.20860468089580536
